iter	Logloss
0	0.6085608455
1	0.5441414751
2	0.495901961
3	0.4606847584
4	0.4313979307
5	0.4080094722
6	0.3890630485
7	0.3748473821
8	0.3638358905
9	0.355015983
10	0.347992863
11	0.3421895484
12	0.3377905044
13	0.3338360082
14	0.3305404999
15	0.3280220947
16	0.3258164415
17	0.323887104
18	0.3224797391
19	0.3212071352
20	0.3200899292
21	0.3191512269
22	0.3183802704
23	0.3176634053
24	0.3170605633
25	0.316493438
26	0.3159966174
27	0.3154768292
28	0.3150619291
29	0.3147323797
30	0.3143988839
31	0.3140757186
32	0.3138165879
33	0.3135721406
34	0.3133328859
35	0.3130973793
36	0.3129309802
37	0.3127079036
38	0.3125286252
39	0.3123649231
40	0.3121904438
41	0.3120436519
42	0.3118748117
43	0.3117607794
44	0.3116319677
45	0.3115068937
46	0.3113809243
47	0.3112863355
48	0.3111905085
49	0.3111005347
50	0.3110084237
51	0.3109005952
52	0.3108083788
53	0.310721836
54	0.3106456814
55	0.3105544368
56	0.3104711116
57	0.3103952684
58	0.3103297539
59	0.3102672602
60	0.3101956584
61	0.3101149434
62	0.3100478022
63	0.3099741318
64	0.3099000315
65	0.3098253084
66	0.309766665
67	0.3097008062
68	0.3096406777
69	0.3095702073
70	0.309501674
71	0.3094357799
72	0.309363388
73	0.3093174734
74	0.3092712005
75	0.3092053858
76	0.3091314619
77	0.3090640758
78	0.3090209306
79	0.3089634797
80	0.3089100877
81	0.3088558255
82	0.3087999487
83	0.3087538182
84	0.3087021794
85	0.3086449745
86	0.308580856
87	0.3085277253
88	0.308493802
89	0.3084440597
90	0.3083910033
91	0.3083410571
92	0.3082985662
93	0.3082520527
94	0.3081943346
95	0.3081473251
96	0.308107746
97	0.3080576104
98	0.3080102722
99	0.3079620071
100	0.3079072558
101	0.30785875
102	0.3078175037
103	0.3077712588
104	0.3077265705
105	0.307681047
106	0.3076315232
107	0.3075918592
108	0.3075455117
109	0.3074958796
110	0.3074510395
111	0.3074093652
112	0.3073600879
113	0.3073107207
114	0.3072559589
115	0.3072019046
116	0.307153314
117	0.3070978863
118	0.3070501173
119	0.3069990458
120	0.3069503673
121	0.3069184175
122	0.3068703564
123	0.3068155313
124	0.3067632803
125	0.3067219463
126	0.306670589
127	0.3066215237
128	0.3065643606
129	0.3065204321
130	0.3064688649
131	0.3064096316
132	0.3063590859
133	0.3063061075
134	0.3062592349
135	0.3062024344
136	0.3061463484
137	0.3060647591
138	0.3060144386
139	0.3059525343
140	0.3058988029
141	0.3058448636
142	0.3058000432
143	0.3057440817
144	0.3056752442
145	0.3056144778
146	0.3055625217
147	0.3055075846
148	0.3054549583
149	0.3054066026
150	0.3053572857
151	0.305303652
152	0.3052522139
153	0.3052062818
154	0.3051603852
155	0.3050997533
156	0.3050456403
157	0.3049807662
158	0.3049393238
159	0.3048922664
160	0.3048368033
161	0.3047873737
162	0.3047235659
163	0.3046701171
164	0.3046182879
165	0.3045559895
166	0.304503361
167	0.3044510924
168	0.3044038127
169	0.3043496075
170	0.3042894168
171	0.304251816
172	0.304188286
173	0.3041356178
174	0.3040891595
175	0.3040407754
176	0.3039918437
177	0.3039444442
178	0.3038993524
179	0.3038533496
180	0.3038010171
181	0.3037461876
182	0.3036915113
183	0.3036389243
184	0.3035852103
185	0.303558625
186	0.3035211587
187	0.3034601303
188	0.3034070124
189	0.303352894
190	0.3033046765
191	0.3032602526
192	0.3032186452
193	0.3031687098
194	0.3031167486
195	0.3030736367
196	0.3030094367
197	0.3029615779
198	0.3029190604
199	0.302847038
200	0.3028057577
201	0.3027639877
202	0.3027087742
203	0.3026543303
204	0.302617427
205	0.3025753629
206	0.3025387047
207	0.3024792516
208	0.3024288513
209	0.3023890137
210	0.3023301149
211	0.302274057
212	0.3022280533
213	0.3021898391
214	0.3021508067
215	0.3020942012
216	0.3020614551
217	0.3020101202
218	0.3019605524
219	0.3019208487
220	0.301881711
221	0.3018256229
222	0.3017733359
223	0.301724168
224	0.3016777882
225	0.3016190494
226	0.301580059
227	0.3015330851
228	0.3014770755
229	0.3014187202
230	0.3013721548
231	0.3013247768
232	0.3012833623
233	0.3012360676
234	0.3011732268
235	0.3011161072
236	0.3010668437
237	0.3010237511
238	0.3009688213
239	0.3009327227
240	0.3009011871
241	0.3008646281
242	0.3008211123
243	0.3007765868
244	0.3007279576
245	0.3006677728
246	0.3006214349
247	0.300568041
248	0.300517106
249	0.3004710103
250	0.3004267047
251	0.300370434
252	0.3003126057
253	0.3002657104
254	0.3002195257
255	0.3001727841
256	0.300139505
257	0.3000941785
258	0.300046977
259	0.3000022892
260	0.2999344129
261	0.2998835638
262	0.2998281725
263	0.2997759589
264	0.2997327922
265	0.2996855115
266	0.2996424359
267	0.2996099937
268	0.2995645473
269	0.299517815
270	0.2994684941
271	0.2994216689
272	0.2993722589
273	0.299318402
274	0.299266867
275	0.2992246226
276	0.2991911375
277	0.2991542792
278	0.2991138843
279	0.2990649235
280	0.2990008223
281	0.2989519887
282	0.2989082155
283	0.2988598505
284	0.2988067104
285	0.2987607848
286	0.2987152767
287	0.2986744287
288	0.2986314926
289	0.2985797276
290	0.298543577
291	0.2985042577
292	0.2984506165
293	0.2983998355
294	0.2983643185
295	0.2983279263
296	0.2982750055
297	0.2982216207
298	0.2981823578
299	0.2981266076
300	0.2980875651
301	0.2980488732
302	0.2979999131
303	0.2979497571
304	0.2979076609
305	0.2978707806
306	0.2978321098
307	0.2977931482
308	0.2977533723
309	0.2977045914
310	0.297650089
311	0.2976063838
312	0.2975631044
313	0.2975041936
314	0.2974518389
315	0.2973931989
316	0.2973557386
317	0.2973057381
318	0.2972634296
319	0.2972103065
320	0.2971543628
321	0.2971102529
322	0.2970566855
323	0.2970099756
324	0.2969666971
325	0.2969232672
326	0.2968680473
327	0.2968128935
328	0.2967793037
329	0.2967423293
330	0.2967015842
331	0.296650312
332	0.2966015643
333	0.2965615589
334	0.2965152051
335	0.2964670306
336	0.2964172118
337	0.2963740536
338	0.296326987
339	0.2962811922
340	0.2962502214
341	0.2962014965
342	0.2961703447
343	0.2961321956
344	0.2960812785
345	0.2960487492
346	0.2960026255
347	0.2959690976
348	0.2959208513
349	0.2958694154
350	0.295834872
351	0.2957722118
352	0.2957326321
353	0.2956943811
354	0.295652088
355	0.2956100156
356	0.2955568915
357	0.2954955673
358	0.2954558665
359	0.2954152027
360	0.295377814
361	0.2953163374
362	0.2952669912
363	0.2952227082
364	0.2951907634
365	0.2951466412
366	0.2950906325
367	0.2950557286
368	0.2950155057
369	0.2949717064
370	0.2949387594
371	0.2948834228
372	0.2948447933
373	0.2947951436
374	0.294762465
375	0.2947186022
376	0.2946744256
377	0.2946357229
378	0.2945945598
379	0.2945549394
380	0.2945153213
381	0.2944787125
382	0.294441345
383	0.2943914517
384	0.2943567906
385	0.2943181565
386	0.2942784537
387	0.2942469883
388	0.2941859485
389	0.2941550455
390	0.2941028093
391	0.294056442
392	0.2940163803
393	0.2939673824
394	0.2939235129
395	0.2938747145
396	0.2938363179
397	0.2937907573
398	0.293753734
399	0.2937116206
400	0.29366653
401	0.2936228661
402	0.2935744294
403	0.2935279501
404	0.2934786643
405	0.2934506295
406	0.2934135372
407	0.2933563352
408	0.2933163862
409	0.2932759846
410	0.2932230082
411	0.2931732037
412	0.2931283875
413	0.2930933429
414	0.2930509522
415	0.2930207527
416	0.2929733369
417	0.2929274923
418	0.2928966291
419	0.2928634076
420	0.2928141608
421	0.2927752325
422	0.2927238819
423	0.292688052
424	0.2926450619
425	0.2925919879
426	0.2925595499
427	0.2925219887
428	0.2924770499
429	0.2924363314
430	0.2923870462
431	0.2923553068
432	0.29231202
433	0.2922858885
434	0.292247964
435	0.2922135264
436	0.2921716519
437	0.29212275
438	0.292080622
439	0.2920346469
440	0.2920031496
441	0.2919548043
442	0.2919095086
443	0.291858773
444	0.291818246
445	0.2917713776
446	0.2917159318
447	0.2916751051
448	0.2916356137
449	0.2915861231
450	0.2915411927
451	0.2914945712
