iter	Passed	Remaining
0	91	91876
1	174	86830
2	263	87486
3	385	96091
4	475	94688
5	569	94279
6	660	93716
7	796	98806
8	886	97663
9	990	98021
10	1093	98320
11	1189	97945
12	1276	96928
13	1362	95934
14	1452	95352
15	1537	94583
16	1626	94044
17	1716	93655
18	1808	93384
19	1895	92878
20	1975	92101
21	2061	91638
22	2158	91703
23	2251	91544
24	2324	90647
25	2415	90483
26	2505	90292
27	2588	89868
28	2683	89856
29	2773	89679
30	2854	89221
31	2948	89194
32	3046	89274
33	3134	89050
34	3233	89151
35	3319	88881
36	3396	88403
37	3488	88323
38	3593	88538
39	3669	88063
40	3760	87949
41	3842	87653
42	3921	87278
43	4015	87237
44	4116	87352
45	4218	87478
46	4314	87481
47	4390	87074
48	4478	86918
49	4618	87744
50	4721	87858
51	4816	87800
52	4900	87568
53	4991	87448
54	5074	87185
55	5166	87088
56	5255	86947
57	5353	86953
58	5429	86596
59	5520	86487
60	5648	86953
61	5727	86657
62	5824	86633
63	5909	86426
64	5984	86086
65	6081	86060
66	6167	85891
67	6248	85637
68	6338	85528
69	6426	85385
70	6526	85398
71	6627	85424
72	6716	85288
73	6798	85071
74	6882	84882
75	6964	84674
76	7061	84650
77	7146	84478
78	7229	84281
79	7320	84186
80	7400	83961
81	7488	83836
82	7569	83632
83	7661	83546
84	7754	83473
85	7829	83210
86	7923	83148
87	8002	82936
88	8098	82891
89	8180	82713
90	8269	82602
91	8362	82530
92	8452	82435
93	8530	82220
94	8624	82160
95	8715	82073
96	8801	81933
97	8909	82004
98	8993	81846
99	9087	81783
100	9168	81605
101	9264	81568
102	9365	81562
103	9461	81515
104	9569	81567
105	9661	81488
106	9740	81293
107	9836	81238
108	9922	81106
109	10024	81111
110	10118	81040
111	10206	80921
112	10301	80861
113	10384	80708
114	10468	80560
115	10555	80439
116	10662	80469
117	10766	80473
118	10853	80351
119	10947	80282
120	11054	80302
121	11131	80110
122	11228	80058
123	11312	79915
124	11400	79802
125	11489	79695
126	11572	79548
127	11653	79390
128	11751	79342
129	11837	79220
130	11934	79168
131	12028	79097
132	12111	78949
133	12201	78852
134	12280	78685
135	12374	78611
136	12451	78433
137	12547	78373
138	12620	78177
139	12723	78156
140	12815	78072
141	12904	77969
142	12976	77769
143	13075	77725
144	13161	77606
145	13249	77499
146	13338	77398
147	13430	77313
148	13505	77137
149	13584	76979
150	13649	76742
151	13737	76639
152	13823	76528
153	13895	76337
154	13982	76225
155	14061	76078
156	14159	76027
157	14253	75959
158	14349	75900
159	14433	75775
160	14514	75639
161	14588	75462
162	14686	75412
163	14784	75363
164	14873	75269
165	14951	75116
166	15027	74957
167	15101	74786
168	15174	74615
169	15264	74524
170	15352	74428
171	15424	74254
172	15503	74111
173	15584	73982
174	15650	73780
175	15720	73599
176	15807	73499
177	15887	73367
178	15963	73219
179	16038	73064
180	16120	72942
181	16200	72812
182	16286	72709
183	16377	72628
184	16453	72486
185	16524	72316
186	16600	72172
187	16687	72076
188	16775	71982
189	16847	71823
190	16919	71666
191	16988	71492
192	17137	71659
193	17210	71505
194	17301	71425
195	17377	71282
196	17503	71348
197	17594	71264
198	17660	71085
199	17745	70982
200	17813	70812
201	17890	70675
202	17979	70590
203	18072	70516
204	18162	70436
205	18247	70331
206	18313	70159
207	18384	70000
208	18458	69857
209	18528	69702
210	18616	69613
211	18691	69475
212	18766	69337
213	18839	69197
214	18906	69029
215	18986	68913
216	19066	68798
217	19145	68678
218	19210	68508
219	19285	68375
220	19364	68258
221	19444	68143
222	19522	68021
223	19602	67907
224	19679	67784
225	19764	67688
226	19838	67556
227	19912	67424
228	19979	67267
229	20048	67118
230	20129	67011
231	20202	66876
232	20277	66751
233	20345	66602
234	20426	66495
235	20506	66385
236	20589	66286
237	20672	66186
238	20751	66074
239	20827	65954
240	20905	65839
241	20965	65670
242	21044	65557
243	21109	65403
244	21185	65286
245	21268	65189
246	21349	65086
247	21429	64978
248	21521	64911
249	21597	64793
250	21676	64682
251	21761	64594
252	21833	64466
253	21910	64350
254	21981	64221
255	22069	64140
256	22137	64000
257	22212	63881
258	22305	63816
259	22397	63747
260	22480	63651
261	22558	63541
262	22634	63429
263	22713	63322
264	22776	63173
265	22850	63054
266	22935	62964
267	23008	62844
268	23094	62759
269	23179	62669
270	23255	62559
271	23350	62496
272	23425	62381
273	23501	62269
274	23572	62144
275	23655	62051
276	23729	61937
277	23800	61813
278	23875	61699
279	23952	61592
280	24035	61501
281	24113	61395
282	24180	61261
283	24259	61160
284	24327	61031
285	24410	60940
286	24501	60870
287	24583	60776
288	24672	60699
289	24751	60598
290	24830	60497
291	24904	60384
292	24981	60280
293	25080	60228
294	25165	60140
295	25252	60060
296	25350	60004
297	25435	59918
298	25537	59872
299	25631	59807
300	25714	59715
301	25785	59597
302	25871	59513
303	25969	59455
304	26054	59371
305	26143	59293
306	26219	59186
307	26311	59116
308	26396	59028
309	26480	58940
310	26564	58851
311	26638	58741
312	26720	58648
313	26804	58561
314	26887	58470
315	26979	58398
316	27066	58317
317	27158	58246
318	27248	58170
319	27330	58078
320	27405	57970
321	27493	57889
322	27572	57791
323	27644	57679
324	27730	57594
325	27804	57484
326	27886	57392
327	27968	57301
328	28043	57195
329	28138	57130
330	28226	57050
331	28320	56981
332	28404	56895
333	28488	56805
334	28577	56727
335	28658	56634
336	28736	56534
337	28817	56441
338	28909	56368
339	29010	56315
340	29100	56237
341	29178	56139
342	29259	56045
343	29344	55959
344	29436	55887
345	29523	55804
346	29613	55727
347	29700	55646
348	29779	55549
349	29860	55454
350	29948	55375
351	30048	55316
352	30137	55237
353	30214	55136
354	30299	55051
355	30380	54957
356	30472	54884
357	30571	54822
358	30655	54736
359	30743	54654
360	30825	54564
361	30920	54495
362	31021	54436
363	31105	54348
364	31187	54257
365	31265	54158
366	31359	54089
367	31440	53995
368	31525	53909
369	31601	53807
370	31681	53713
371	31778	53646
372	31880	53589
373	31957	53490
374	32033	53389
375	32137	53334
376	32208	53225
377	32287	53129
378	32370	53039
379	32442	52932
380	32510	52818
381	32580	52709
382	32644	52589
383	32729	52503
384	32811	52412
385	32897	52329
386	32971	52226
387	33043	52120
388	33148	52066
389	33231	51976
390	33323	51902
391	33414	51827
392	33573	51855
393	33659	51771
394	33737	51673
395	33817	51579
396	33895	51483
397	33983	51401
398	34066	51313
399	34154	51231
400	34230	51132
401	34313	51042
402	34390	50945
